Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2012-03,Cumbria Constabulary,Cumbria Constabulary,320045,468822,On or near Strand,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,296842,516103,On or near Parking Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328753,478146,On or near Brogden Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,342181,554388,On or near Arnside Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,340438,555566,On or near Nightclub,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,328547,478157,On or near A590,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352104,492715,On or near Kirkbie Green,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352399,492337,On or near Sports/Recreation Area,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352452,493403,On or near Broad Ing Crescent,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352633,493421,On or near Garburn Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352951,492863,On or near Sedbergh Drive,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351590,530259,On or near Burrowgate,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,303415,516737,On or near Frizington Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351002,530919,On or near Milton Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,351095,529909,On or near Myers Lane,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352004,492807,On or near Thorny Hills,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352185,560826,On or near Carlisle Road,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,317438,480124,On or near Crown Street,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,352356,493207,On or near Eastgate,Anti-social behaviour,
2012-03,Cumbria Constabulary,Cumbria Constabulary,341171,555133,On or near Tramside Way,Anti-social behaviour,
